9/17 01:16:54.800  ---- Startup ----
9/17 01:17:06.469  ---- ClientAvailableHotfixes ----
9/17 01:17:06.469  ---- UserClientHotfixRequest ----
9/17 01:17:06.469  ---- ApplyingHotfixes from Cache ----
9/17 01:17:06.469  	70130 Table TransmogHoliday RecID 34998 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70130 Table ItemSparse RecID 34998 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table Item RecID 34998 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table ItemCurrencyCost RecID 66 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table ItemCurrencyCost RecID 68 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table ItemCurrencyCost RecID 70 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table ItemCurrencyCost RecID 72 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table ItemCurrencyCost RecID 74 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table ItemCurrencyCost RecID 76 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table ItemCurrencyCost RecID 4021 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table ItemCurrencyCost RecID 4022 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table ItemExtendedCost RecID 423 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70130 Table PlayerCondition RecID 102737 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70130 Table PlayerCondition RecID 102744 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70130 Table PlayerCondition RecID 102767 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70135 Table SpellAuraOptions RecID 129841 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70136 Table Spell RecID 43291 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70136 Table SpellName RecID 43291 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70136 Table SpellCraftUI RecID 43291 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70136 Table SpellAuraOptions RecID 189000 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70136 Table SpellEffect RecID 950513 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70136 Table SpellEquippedItems RecID 228348 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70136 Table SpellPower RecID 234095 VALIDATION_RESULT_DELETE
